days,height,weight,gender
0.0,52.0,3.78,1.0
0.0,52.0,3.78,1.0
0.0,50.0,3.2,1.0
1.0,51.0,2.45,1.0
1.0,50.0,2.8,1.0
1.0,51.5,3.51,1.0
1.0,52.0,2.98,1.0
1.0,51.0,2.65,1.0
1.0,52.0,3.9,1.0
1.0,49.0,3.3,1.0
1.0,51.0,3.25,1.0
1.0,53.0,2.92,1.0
1.0,51.0,3.4,1.0
1.0,51.0,3.39,1.0
1.0,49.0,2.8600000000000003,1.0
1.0,51.5,3.37,1.0
1.0,50.0,4.0,1.0
1.0,51.0,3.18,1.0
1.0,53.0,3.46,1.0
1.0,48.0,2.91,1.0
1.0,52.5,3.44,1.0
1.0,52.0,3.57,1.0
1.0,50.0,3.09,1.0
1.0,52.0,3.56,1.0
1.0,53.0,3.95,1.0
1.0,50.0,3.44,1.0
1.0,51.0,3.34,1.0
1.0,52.0,3.71,1.0
1.0,54.0,3.2299999999999995,1.0
1.0,51.0,3.01,1.0
1.0,53.0,3.58,1.0
1.0,52.0,3.15,1.0
1.0,49.5,2.96,1.0
1.0,48.0,2.96,1.0
1.0,48.0,2.54,1.0
1.0,49.0,2.95,1.0
1.0,50.0,3.6,1.0
1.0,53.0,3.68,1.0
1.0,47.0,3.96,1.0
1.0,52.1,3.7,1.0
1.0,47.0,2.47,1.0
1.0,52.6,3.87,1.0
1.0,54.0,3.56,1.0
1.0,55.0,4.04,1.0
1.0,51.0,3.29,1.0
1.0,51.0,2.82,1.0
1.0,52.0,2.87,1.0
1.0,52.0,3.4799999999999995,1.0
1.0,48.0,2.94,1.0
1.0,52.0,3.27,1.0
1.0,51.0,3.12,1.0
1.0,48.0,3.1,1.0
1.0,50.0,3.3200000000000003,1.0
1.0,51.0,3.68,1.0
1.0,51.0,2.97,1.0
1.0,52.0,3.6,1.0
1.0,50.0,3.03,1.0
1.0,49.0,3.44,1.0
1.0,50.5,3.663,1.0
1.0,49.0,3.1,1.0
1.0,51.0,3.7,1.0
1.0,51.0,3.3,1.0
1.0,50.0,3.71,1.0
1.0,51.0,3.4,1.0
1.0,51.0,3.19,1.0
1.0,53.0,3.76,1.0
1.0,48.4,3.21,1.0
1.0,50.2,3.69,1.0
1.0,50.0,2.88,1.0
1.0,48.0,2.77,1.0
1.0,53.0,3.6,1.0
1.0,50.0,3.16,1.0
1.0,54.0,3.24,1.0
1.0,54.0,3.65,1.0
1.0,51.0,3.46,1.0
1.0,55.0,4.07,1.0
1.0,51.0,3.54,1.0
1.0,51.0,3.62,1.0
1.0,51.0,3.28,1.0
1.0,50.0,3.28,1.0
1.0,48.0,2.89,1.0
1.0,51.0,4.32,1.0
1.0,49.0,2.67,1.0
1.0,54.0,3.92,1.0
1.0,49.0,3.18,1.0
1.0,52.0,3.4,1.0
1.0,51.0,3.1,1.0
1.0,49.0,3.5,1.0
1.0,51.0,3.2,1.0
1.0,49.0,3.6,1.0
1.0,54.0,3.5,1.0
1.0,51.0,2.32,1.0
1.0,50.0,3.0,1.0
1.0,50.0,3.14,1.0
1.0,51.0,3.49,1.0
1.0,51.0,3.54,1.0
1.0,52.0,3.46,1.0
1.0,50.0,2.8600000000000003,1.0
1.0,54.0,3.66,1.0
